x1,y1,z1,x2,y2,z2
-243.601,136.317,-1990.497,-249.072,165.862,-1981.148
-243.73710119071026,136.3019080280637,-1990.4477320316817,-249.25579266459408,165.84186952818743,-1981.1184276636611
-243.87669646245124,136.35375541253495,-1990.5004159818955,-249.456112763089,165.88507455532138,-1981.1818699064788
-244.16196469367685,136.40831311880248,-1990.6149839728441,-249.85930914463356,165.92091183298214,-1981.3122048597186
-244.71286168774373,136.406430937325,-1990.7541520905202,-250.62154018455473,165.88458722339283,-1981.483242467604
-245.39099999999996,136.348,-1990.9129999999998,-251.548,165.78,-1981.6679999999997
-245.97727463637858,136.2652944883048,-1991.1051115836065,-252.33148155104806,165.65076277239282,-1981.8569678490198
-246.59130850788335,136.16856968007778,-1991.3350806064852,-253.11437043651694,165.52271839673216,-1982.1116061329492
-247.2997040908643,136.07310053508562,-1991.6149612491797,-253.98849134685588,165.4117996828215,-1982.4537684529405
-247.96083134700302,136.0079119307541,-1991.9638634060973,-254.7982156338455,165.3253664128123,-1982.8196047690785
-248.498,135.97,-1992.3069999999998,-255.455,165.266,-1983.1789999999999
-248.90452171760288,135.93748258008674,-1992.5499296207634,-255.948742680907,165.22997030738506,-1983.523228187305
-249.2389651276144,135.89911722341978,-1992.7633124808474,-256.354080538029,165.19893681460556,-1983.823331180157
-249.56151858138372,135.85636305674615,-1993.0021910698213,-256.7529248188631,165.1612966603003,-1984.0834355873835
-249.90711626810244,135.82515666346535,-1993.2396227924344,-257.20041485548484,165.12244731036918,-1984.3664135403374
-250.27699999999996,135.81099999999998,-1993.522,-257.686,165.099,-1984.731
-250.67438804827435,135.8062833471872,-1993.9147321367159,-258.19355504179026,165.09974924358622,-1985.2093824111419
-251.1911688561688,135.78127870209389,-1994.3517983894687,-258.84764158598136,165.07723924377905,-1985.7517324988773
-251.89114567718457,135.70603651411523,-1994.771655120143,-259.7408180722654,164.98566198156303,-1986.3104210031458
-252.75063471167155,135.5638375690483,-1995.1761753873325,-260.8479958809434,164.80945344799022,-1986.8748751333953
-253.63299999999998,135.397,-1995.63,-261.986,164.60199999999998,-1987.4580000000003
-254.40853977213186,135.25617536618086,-1996.1825352700228,-262.9772911460025,164.42389302613284,-1988.0644304333346
-255.24515035160925,135.07659026769957,-1996.6762272667804,-264.04579699094165,164.19423850888484,-1988.6142828782226
-256.20061020501817,134.83289820926248,-1997.0428066827433,-265.26717542333375,163.8847042984226,-1989.0719282490302
-257.0599747249743,134.6009617460217,-1997.4195130662638,-266.3513273354542,163.59686939413723,-1989.4990955230833
-257.75699999999995,134.404,-1997.7970000000003,-267.229,163.36000000000004,-1989.914
-258.32440780086836,134.2331576114072,-1998.0851538220916,-267.9660733660777,163.15749339750613,-1990.2925230554617
-258.74659686015065,134.10946737753068,-1998.2960557379588,-268.5180588850543,163.00478229421157,-1990.5767018335582
-259.08785966187435,134.0226966042359,-1998.4663253772117,-268.95215591438296,162.88709050046268,-1990.7689260472775
-259.5380875896645,133.90823163782326,-1998.6326091669503,-269.5286066754422,162.73632205687372,-1990.975221666286
-260.087,133.76800000000003,-1998.8580000000002,-270.23800000000006,162.555,-1991.2730000000001
-260.6082145827171,133.6434448406466,-1999.1827779812227,-270.91352581796036,162.38828230355043,-1991.6709146826809
-261.05882092055856,133.54871410070672,-1999.489498359371,-271.50198898623506,162.25597819211677,-1992.0028457767837
-261.51595937751927,133.43311037047235,-1999.7402097022791,-272.10310902875875,162.10101367751977,-1992.2437732925703
-262.1812306124732,133.1747610871701,-2000.0702982523244,-272.97226154155646,161.77919964843105,-1992.632073830066
-262.9320000000001,132.86300000000003,-2000.4930000000002,-273.95200000000006,161.39700000000002,-1993.151
-263.52683389784477,132.66401467497099,-2000.9295351543474,-274.73608809998507,161.14873081787331,-1993.6328894451444
-264.11400327080463,132.49037538572122,-2001.2892535747503,-275.523521830723,160.91387171571697,-1994.026053773723
-264.80388470712955,132.28882813120458,-2001.5586661043144,-276.45596659016365,160.61855826851118,-1994.3350067390888
-265.5028885617331,132.14923182932938,-2001.8397937121792,-277.39992116362083,160.3738242247108,-1994.6054031702647
-266.193,132.062,-2002.145,-278.342,160.176,-1994.886
-266.9188067293566,131.9647680608616,-2002.4416979927278,-279.35488498281825,159.95784316703794,-1995.2159861698299
-267.73360099760015,131.87286984178937,-2002.7744997536292,-280.48283581616704,159.73532459060235,-1995.5970859896331
-268.65600385174577,131.7896028068908,-2003.1566888733796,-281.7373482827296,159.5068843598992,-1996.0023082748105
-269.64739617740986,131.6729117877022,-2003.5243967143513,-283.08902995016115,159.21682866660825,-1996.3770333161754
-270.661,131.524,-2003.8310000000001,-284.4870000000001,158.87500000000003,-1996.6930000000002
-271.65313617561236,131.37343016022777,-2004.0532012238136,-285.8756527934688,158.52708849615618,-1996.9319497237157
-272.60140885399267,131.24660084123383,-2004.1994952365515,-287.2274077285949,158.18031357296425,-1997.0425067653853
-273.51937100209386,131.1374179104754,-2004.3054564799727,-288.54541070789764,157.82443101673243,-1997.0408109707814
-274.4628382129543,130.99532321015744,-2004.4344411415725,-289.8654734280013,157.4380691116629,-1997.0556083886368
-275.429,130.793,-2004.628,-291.178,157.008,-1997.162
-276.3918961388014,130.5231676072955,-2004.9035103689766,-292.46228175680164,156.52620303284255,-1997.380812196967
-277.393602594785,130.18872641405275,-2005.2448759457177,-293.7772422968972,155.98232161525786,-1997.6808662103683
-278.45972003937476,129.80178584838853,-2005.662206168041,-295.156774906594,155.38919077001515,-1998.0853372445588
-279.5642647489674,129.38534528411301,-2006.2111519238738,-296.56683179377194,154.7929215269203,-1998.7045304747298
-280.686,128.968,-2006.8569999999997,-297.99299999999994,154.199,-1999.4549999999997
-281.8089366067138,128.5737422604056,-2007.5274035894063,-299.43295185284614,153.5969057960312,-2000.1940960340098
-282.9145842171916,128.19584962802276,-2008.2431315861252,-300.8666248327513,153.0239704336265,-2001.0605782954583
-284.0009789504186,127.80557397332127,-2009.0216067818865,-302.2629421492117,152.48700094248056,-2002.0961243121674
-285.08153884073823,127.36294601596539,-2009.8370988169586,-303.5755212958536,151.93780348847972,-2003.099078925398
-286.04,126.95500000000001,-2010.645,-304.697,151.45400000000004,-2004.0560000000003
-286.7273603120727,126.69597085161254,-2011.369758981873,-305.5138058951952,151.1514155735321,-2005.0247140344975
-287.2024821112506,126.47845292876232,-2011.8544095757438,-306.0421384000347,150.96122383616512,-2005.810822425794
-287.5549505388556,126.19152753890488,-2012.1066731738397,-306.3392413343972,150.79967222099555,-2006.4064785227108
-287.8402275326403,125.80994188568599,-2012.40522959425,-306.47758082183856,150.63311307213422,-2007.1675574045382
-288.105,125.36600000000001,-2012.8559999999998,-306.555,150.443,-2008.1849999999995
-288.39687116550505,124.91336545574077,-2013.415857353171,-306.68735759699956,150.20969238029963,-2009.325262172111
-288.78098599777474,124.46151007633634,-2013.9547464751881,-306.99817036544584,149.88251008578868,-2010.3275995632448
-289.25263302908877,124.0271620036253,-2014.4192521784403,-307.487796462132,149.47924356575135,-2011.1276885068614
-289.7030134619633,123.6517719283626,-2014.901098282032,-307.9791159685399,149.12437276054214,-2011.9868800386014
-290.14700000000005,123.33299999999998,-2015.422,-308.47700000000003,148.813,-2012.8680000000002
-290.6610430816634,123.03307344986581,-2015.9950106532008,-309.0765350608233,148.4691646508845,-2013.664173015705
-291.2246140044636,122.69145510174627,-2016.8078377144789,-309.7232345967776,148.0907717028234,-2014.8270242854821
-291.7975639485243,122.2471362725783,-2017.8364295472659,-310.34119063473725,147.65818235993274,-2016.463295120486
-292.34656044526906,121.65409383945777,-2018.6897477400892,-310.8777408140866,147.10546337967398,-2017.9705525881825
-292.8279999999999,120.949,-2019.302,-311.254,146.48199999999997,-2019.2199999999998
-293.195192587996,120.22908715123506,-2019.82228468038,-311.4129872401838,145.89785777370443,-2020.403909011221
-293.4178537701156,119.62172863285673,-2020.3344043719012,-311.4574066021158,145.39660136739462,-2021.6126815916873
-293.5081536476462,119.18184782230311,-2020.8423393637504,-311.4701545315348,144.98415371774718,-2022.7943812278852
-293.53387538404706,118.84361241983339,-2021.2659312333606,-311.4417536989597,144.6362274964127,-2023.7463613759348
-293.52099999999996,118.57,-2021.6699999999998,-311.363,144.349,-2024.587
-293.47325434254407,118.34613068591224,-2022.1604899670338,-311.2424724496251,144.12335111648505,-2025.55292640081
-293.42546994952494,118.14465598970452,-2022.6154309466585,-311.13783809320296,143.9197971926567,-2026.4908689467898
-293.3909663738731,117.96161696765952,-2022.9560675377172,-311.07335772545196,143.7208643172136,-2027.2571850294967
-293.33734358428103,117.83004432920468,-2023.2572761251506,-311.0014268400059,143.5564828068649,-2027.8804878632138
-293.229,117.735,-2023.573,-310.85900000000004,143.43,-2028.4519999999998
-293.06203759970987,117.62211718132625,-2023.9307730338367,-310.62446137930476,143.3057801690703,-2029.0862701466224
-292.95557285458705,117.41307190250761,-2024.3404504018597,-310.46328455132874,143.0734486144569,-2029.865413175236
-292.94557091095294,117.10291785940069,-2024.7804446749433,-310.4323317449563,142.71223778714332,-2030.7435972382686
-292.90041023333185,116.80225846152138,-2025.192942258795,-310.3589786207256,142.3600585466089,-2031.5087977369133
-292.786,116.54199999999999,-2025.5859999999998,-310.19399999999996,142.056,-2032.167
-292.65374247253754,116.29840788512213,-2025.983584273443,-310.0088158265289,141.76536009185827,-2032.8294259747938
-292.6058136119457,116.06146107989966,-2026.296420156632,-309.9842612377021,141.45009885558161,-2033.427669940918
-292.6753542565725,115.83691834350562,-2026.5101373652376,-310.1746555368204,141.10942675133353,-2033.9002545805345
-292.775772282463,115.64701167168344,-2026.7621344175059,-310.40915688226,140.79592076947074,-2034.274965817284
-292.891,115.48800000000001,-2027.0970000000002,-310.65599999999995,140.50400000000002,-2034.675
-293.0403458283322,115.34244879232082,-2027.4931247470888,-310.95095564118856,140.20713505429856,-2035.2131951640795
-293.176519324236,115.20871194270887,-2027.9378214532592,-311.1919310881598,139.95616289529872,-2035.7365658970405
-293.3043277472725,115.06812827830619,-2028.3984523326747,-311.3743003403808,139.74381914351198,-2036.189868573929
-293.5217350785947,114.87729461093839,-2028.8109880308893,-311.6768315017517,139.45750144091238,-2036.747107764302
-293.77099999999996,114.683,-2029.15,-312.033,139.15399999999997,-2037.294
-293.92652245418685,114.56632691419314,-2029.4199928779208,-312.2604108316654,138.96522508461496,-2037.603825493061
-294.01388552778246,114.50743789923779,-2029.6373202738857,-312.3876581779888,138.8627985888838,-2037.795103412981
-294.0217388852559,114.51653118457207,-2029.764245335681,-312.41023076337564,138.85292978604232,-2037.9262195751435
-293.8403236306099,114.67667655952025,-2029.6888159762507,-312.2095730266507,139.04159630308453,-2037.8427184390048
-293.56600000000003,114.921,-2029.4590000000003,-311.896,139.34500000000003,-2037.5610000000001
-293.36850255395314,115.11759166963712,-2029.195293601035,-311.6497051122119,139.60532054572312,-2037.2028151967477
-293.15721723107663,115.27846129692598,-2028.8791083047001,-311.315483656424,139.88075048274413,-2036.8219526279638
-292.878866219424,115.42938612394558,-2028.538566211924,-310.83557996408564,140.19695198228737,-2036.478017518622
-292.6307721296952,115.56279629400973,-2028.3156852040804,-310.41726711241176,140.454266798692,-2036.2568854074711
-292.41100000000006,115.69,-2028.205,-310.081,140.66,-2036.1309999999999
-292.1615927402476,115.8365622646768,-2028.1105878682488,-309.73490733331306,140.8857625377834,-2036.009240276046
-291.89093045623343,116.0282946606117,-2027.9823758817133,-309.380423687959,141.15516030842306,-2035.846319932903
-291.61842570469554,116.2624703702583,-2027.8103836442792,-309.03709910417103,141.4565031350156,-2035.6423094565266
-291.3505816252442,116.49605215197414,-2027.630545411571,-308.7094491279358,141.7467461649322,-2035.4505203724943
-291.0489999999999,116.73,-2027.5059999999999,-308.33099999999996,142.031,-2035.3399999999997
-290.66549095317384,116.99150656716954,-2027.4860652500338,-307.82747355551015,142.3415154895405,-2035.3616264488544
-290.2249990447835,117.29047235126409,-2027.5047778462013,-307.27170056970306,142.68842547925522,-2035.4638188610768
-289.70659713640936,117.67213862262325,-2027.4798922855568,-306.6468106190231,143.13481299690235,-2035.5156427420034
-289.0027193576055,118.23212380333467,-2027.3506653942209,-305.76177823492947,143.8186046248341,-2035.31966322283
-288.153,118.93699999999998,-2027.08,-304.676,144.695,-2034.87
-287.27098169471196,119.68180824250756,-2026.6442271299932,-303.57676378015907,145.6191360061111,-2034.2598003835406
-286.3648312150264,120.42154307365719,-2026.0180961158421,-302.47477068748617,146.5366427703062,-2033.4686752911157
-285.37981120201744,121.1714012533319,-2025.2438575067704,-301.2755247066291,147.47521302606285,-2032.5135319593012
-284.23153177926986,121.99882207462196,-2024.4594060889556,-299.82956265572994,148.53070134369247,-2031.5080720403346
-283.14,122.773,-2023.694,-298.432,149.533,-2030.502
-282.36166092180696,123.33596082243743,-2022.923579990337,-297.44482587621815,150.27141219268387,-2029.506913607045
-281.51149777384614,123.9413358185626,-2022.2120321300445,-296.34472768101887,151.0705024648237,-2028.5683540009138
-280.49078035868376,124.67010820411858,-2021.5647493623894,-295.0121606362656,152.0217576478278,-2027.6880073743407
-279.83125212036265,125.21084031632348,-2020.8716899800943,-294.2082996671143,152.69606150315727,-2026.7887586797706
-279.357,125.64899999999999,-2020.132,-293.684,153.21500000000003,-2025.821
-278.5970423713291,126.22814099074756,-2019.4070933725118,-292.7586026564964,153.92622197432954,-2024.7840200501353
-277.8671405449754,126.71314636108849,-2018.6992811218668,-291.83016589953775,154.5448610588624,-2023.7832366613834
-277.3497941464297,126.98658013250243,-2018.0093276489997,-291.1425462075633,154.92355728689296,-2022.909284575
-276.73983796187684,127.2820974765571,-2017.354658946149,-290.3145746543308,155.35091649213112,-2022.1749886116306
-276.02599999999995,127.63100000000001,-2016.7029999999997,-289.365,155.845,-2021.4289999999999
-275.3514717690782,127.95115565868974,-2015.9971806390427,-288.5058439859684,156.28189314217988,-2020.4781397859103
-274.60991388742804,128.30762140483662,-2015.2129335328823,-287.5511015430162,156.76552247433193,-2019.3687316071496
-273.7589240269722,128.73279690575697,-2014.339988889633,-286.42258057044364,157.34982343374045,-2018.1535627256844
-272.9418938620411,129.15715490270767,-2013.3727648201661,-285.3493623076901,157.93077690602462,-2016.7944735154376
-272.17699999999996,129.585,-2012.2589999999996,-284.387,158.504,-2015.163
-271.4236096366058,130.03570875738762,-2010.9916973972813,-283.4880300731494,159.09166263231594,-2013.2255430825294
-270.7694813087665,130.37736458740702,-2009.8630391682386,-282.7089058636197,159.53185827587635,-2011.5341837668195
-270.21905245101664,130.5758767681367,-2009.014426090094,-282.0296721293682,159.78689615860367,-2010.3498696894198
-269.6139532119799,130.7923675826443,-2008.2491064052203,-281.2876093457838,160.06454039458814,-2009.2828765856252
-268.98299999999995,131.017,-2007.493,-280.509,160.363,-2008.2419999999997
-268.43253912742085,131.163628957154,-2006.7620667023252,-279.80043221026637,160.57950597739102,-2007.3123959225577
-267.85954605671554,131.32582004999966,-2006.0391817187133,-279.0698815487649,160.8034791801001,-2006.3681685182546
-267.19198052016435,131.57349115113283,-2005.2788224254768,-278.2525807024132,161.10650431886916,-2005.307557424489
-266.4872351150036,131.86925079978855,-2004.4190381083617,-277.4030877115529,161.45613057539217,-2004.1538720320361
-265.801,132.169,-2003.5610000000001,-276.572,161.805,-2002.9860000000003
-265.15730773751443,132.4345694706048,-2002.8346420818025,-275.7795029929992,162.10953054335155,-2001.8725089444704
-264.4872437420258,132.64552881261247,-2002.0617114586767,-274.96113360060536,162.35716035891994,-2000.726277283946
-263.7255205004385,132.81892737295897,-2001.1508877851127,-274.0414513451493,162.57246326020166,-1999.5186002371688
-262.85964480783207,133.01529482835235,-2000.251223959967,-272.9771976534635,162.81700568502026,-1998.358777748523
-262.009,133.207,-1999.353,-271.917,163.055,-1997.21
-261.3034105218284,133.34051057139712,-1998.3821290439728,-271.03724415377536,163.22400176833003,-1995.985650964997
-260.5874113579429,133.49508169415301,-1997.4693664301053,-270.1392192197594,163.41350215606448,-1994.8069487165753
-259.79060145703465,133.6911254550006,-1996.6599887486614,-269.1393813498256,163.64784615064562,-1993.7302542427599
-259.06894687773223,133.81869812588818,-1995.7984279733587,-268.2545863083454,163.8047818035528,-1992.6346450448004
-258.395,133.91,-1994.8579999999997,-267.432,163.91499999999996,-1991.444
-257.6675531274049,134.06676081674468,-1993.8831116315953,-266.52250501068005,164.08020950348742,-1990.1184248756915
-257.01314964494367,134.27182309142995,-1992.8252101758653,-265.7528829719072,164.25801552572733,-1988.6089974541449
-256.46697973376104,134.4805889670118,-1991.677521284514,-265.1990224639228,164.39648890622794,-1986.9564511393464
-255.84661355009197,134.65400262546262,-1990.5301774253799,-264.572498312579,164.4869085302332,-1985.333023921883
